,,,Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,1-2,7-8,8-9,7-9,3,4,9-10,4-5,10-11,9-11,1-6,5,6,3-4,2-3,5-7,12-2,7,8,12-1,2-4,4-6,10-12,9,10,5-6,6-7,6-8,8-10,7-12,11,12,11-12,1-3,3-5,11-1
Participant 1,blue,zebra,strongly disagree,strongly agree,strongly disagree,strongly agree,louder,doesnt matter,strongly disagree,strongly disagree,agree,moderately disagree,neither,slower,doesnt matter,moderately agree,strongly agree,neither,moderately disagree,stop signs,doesnt matter,slightly agree,strongly agree,neither,slightly agree,were not,lower,slightly agree,strongly disagree,moderately agree,moderately disagree,moderately agree,defensively,further away,neither,slightly agree,slightly disagree,slightly agree
Participant 2,doesnt matter,zebra,strongly disagree,moderately agree,agree,agree,louder,doesnt matter,strongly disagree,disagree,agree,strongly disagree,agree,faster,smaller,strongly agree,agree,agree,moderately agree,stop signs,brighter,strongly agree,strongly agree,slightly agree,slightly agree,doesnt matter,lower,slightly disagree,disagree,disagree,moderately disagree,moderately agree,defensively,further away,disagree,slightly agree,disagree,disagree
Participant 3,doesnt matter,zebra,disagree,moderately agree,disagree,agree,louder,lighter,disagree,disagree,moderately agree,strongly disagree,moderately agree,slower,smaller,moderately agree,slightly agree,slightly agree,agree,stop signs,doesnt matter,moderately agree,agree,moderately agree,neither,doesnt matter,lower,agree,slightly disagree,neither,disagree,disagree,defensively,further away,disagree,disagree,agree,agree
Participant 4,doesnt matter,zebra,disagree,agree,strongly disagree,disagree,louder,lighter,strongly agree,agree,neither,agree,disagree,doesnt matter,doesnt matter,agree,strongly agree,disagree,neither,doesnt matter,doesnt matter,agree,strongly agree,strongly agree,disagree,doesnt matter,doesnt matter,neither,slightly disagree,neither,disagree,slightly agree,defensively,further away,strongly agree,disagree,disagree,strongly agree
Participant 5,doesnt matter,doesnt matter,moderately disagree,strongly agree,strongly disagree,moderately agree,louder,doesnt matter,disagree,strongly disagree,slightly disagree,disagree,neither,doesnt matter,smaller,slightly disagree,moderately disagree,neither,slightly agree,no stop signs,brighter,neither,strongly agree,slightly disagree,agree,were not,lower,agree,moderately disagree,agree,strongly disagree,slightly agree,doesnt matter,further away,neither,strongly disagree,agree,strongly agree
Participant 6,doesnt matter,doesnt matter,slightly disagree,agree,neither,moderately agree,doesnt matter,doesnt matter,neither,slightly disagree,neither,moderately disagree,neither,doesnt matter,doesnt matter,agree,agree,slightly agree,neither,stop signs,doesnt matter,neither,slightly agree,disagree,neither,were not,doesnt matter,neither,slightly disagree,slightly agree,slightly disagree,slightly agree,doesnt matter,further away,strongly disagree,disagree,moderately agree,agree
Participant 7,doesnt matter,zebra,strongly disagree,agree,slightly agree,agree,doesnt matter,doesnt matter,strongly disagree,strongly disagree,slightly disagree,strongly disagree,slightly disagree,slower,doesnt matter,neither,strongly agree,disagree,strongly disagree,stop signs,doesnt matter,agree,strongly agree,neither,slightly agree,were not,doesnt matter,slightly agree,moderately disagree,moderately disagree,neither,moderately agree,defensively,further away,disagree,neither,strongly disagree,strongly agree
Participant 8,doesnt matter,zebra,strongly disagree,agree,disagree,slightly agree,louder,doesnt matter,moderately disagree,strongly disagree,slightly disagree,moderately disagree,moderately disagree,slower,smaller,agree,strongly agree,agree,slightly disagree,stop signs,brighter,agree,strongly agree,moderately disagree,disagree,were not,lower,agree,disagree,agree,strongly disagree,disagree,defensively,further away,agree,strongly disagree,slightly agree,strongly agree
Participant 9,doesnt matter,zebra,disagree,agree,disagree,moderately agree,louder,lighter,moderately disagree,disagree,disagree,disagree,neither,slower,smaller,moderately agree,agree,slightly agree,slightly agree,stop signs,doesnt matter,strongly agree,strongly agree,neither,moderately agree,were not,lower,agree,disagree,disagree,strongly disagree,moderately disagree,defensively,further away,neither,disagree,disagree,strongly agree
